"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201229,2020-12-29,13874A,CME ,00,138 , 2498905,  250433,  659109,   21429, 1298684,  526947,  277662,  241881,  412303,   25622,  123279,  354031,    3593, 2242583, 2280696,  256322,  218209,   22996,   -6435,   -6449,    2688,    9935,   -8217,    6663,    4425,   25740,    3515,    1526,    4853,    -241,   22076,   28552,     920,   -5556,  100.0,   10.0,   26.4,    0.9,   52.0,   21.1,   11.1,    9.7,   16.5,    1.0,    4.9,   14.2,    0.1,   89.7,   91.3,   10.3,    8.7,    536,     32,     38,     15,    159,     86,    113,     63,     95,     46,     33,     30,      4,    364,    350,    13.4,    21.9,    23.1,    30.8,    11.6,    21.7,    20.9,    30.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201221,2020-12-21,13874A,CME ,00,138 , 2475909,  256868,  665558,   18741, 1288749,  535164,  270999,  237456,  386563,   22107,  121753,  349178,    3834, 2220507, 2252144,  255402,  223765, -523860,  -74743,   38197, -187926,    5957,    1628,  -82681,  -59248,  -40111,  -74731,    3870,  -14832,  -13238, -482740, -373694,  -41120, -150166,  100.0,   10.4,   26.9,    0.8,   52.1,   21.6,   10.9,    9.6,   15.6,    0.9,    4.9,   14.1,    0.2,   89.7,   91.0,   10.3,    9.0,    525,     36,     35,     15,    160,     85,    111,     65,     86,     43,     31,     27,      7,    365,    336,    14.3,    22.5,    23.7,    31.7,    12.4,    22.4,    21.5,    31.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201215,2020-12-15,13874A,CME ,00,138 , 2999769,  331611,  627361,  206667, 1282792,  533536,  353680,  296704,  426674,   96838,  117883,  364010,   17072, 2703247, 2625838,  296522,  373931,  284656,   18664,   43870,  133743,    6125,    9092,   48422,    3376,  -36296,   35167,    3968,   -4519,    9389,  258854,  238868,   25802,   45788,  100.0,   11.1,   20.9,    6.9,   42.8,   17.8,   11.8,    9.9,   14.2,    3.2,    3.9,   12.1,    0.6,   90.1,   87.5,    9.9,   12.5,    547,     35,     43,     37,    157,     88,    118,     65,     96,     68,     31,     31,     14,    402,    382,    13.1,    17.9,    21.1,    26.6,    10.5,    17.1,    17.4,    24.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201208,2020-12-08,13874A,CME ,00,138 , 2715113,  312947,  583491,   72924, 1276667,  524444,  305258,  293328,  462970,   61671,  113915,  368529,    7683, 2444393, 2386970,  270720,  328143,   97592,    5773,   25712,   27601,   37922,  -11444,    -472,    9155,   25270,   18969,   -1941,    3877,    1415,   98422,   90928,    -830,    6664,  100.0,   11.5,   21.5,    2.7,   47.0,   19.3,   11.2,   10.8,   17.1,    2.3,    4.2,   13.6,    0.3,   90.0,   87.9,   10.0,   12.1,    549,     34,     39,     27,    157,     88,    113,     63,    101,     57,     32,     34,     11,    383,    374,    13.3,    17.9,    21.9,    26.9,    11.4,    17.9,    18.9,    25.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201201,2020-12-01,13874A,CME ,00,138 , 2617521,  307174,  557779,   45323, 1238745,  535888,  305730,  284173,  437700,   42702,  115856,  364652,    6268, 2345971, 2296042,  271550,  321479,   68200,   24111,   51608,   -1146,   10276,   -2174,    5925,   18111,    1876,    3414,    9688,   -2193,     200,   70579,   57510,   -2379,   10690,  100.0,   11.7,   21.3,    1.7,   47.3,   20.5,   11.7,   10.9,   16.7,    1.6,    4.4,   13.9,    0.2,   89.6,   87.7,   10.4,   12.3,    542,     33,     36,     24,    154,     90,    115,     64,     99,     61,     34,     32,     11,    387,    366,    13.5,    17.7,    22.6,    27.0,    11.9,    17.7,    19.9,    26.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201124,2020-11-24,13874A,CME ,00,138 , 2549321,  283063,  506171,   46469, 1228469,  538062,  299805,  266062,  435824,   39288,  106168,  366845,    6068, 2275392, 2238532,  273929,  310789,   14471,    1977,  -13314,    8514,   21859,  -13315,  -16871,   17086,   40161,    -932,  -18458,    3641,     199,   13374,    8083,    1097,    6388,  100.0,   11.1,   19.9,    1.8,   48.2,   21.1,   11.8,   10.4,   17.1,    1.5,    4.2,   14.4,    0.2,   89.3,   87.8,   10.7,   12.2,    541,     31,     39,     21,    153,     90,    116,     61,    101,     58,     31,     35,      9,    376,    369,    13.4,    18.4,    21.8,    27.6,    11.6,    18.3,    19.1,    27.1,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201117,2020-11-17,13874A,CME ,00,138 , 2534850,  281086,  519485,   37955, 1206610,  551377,  316676,  248976,  395663,   40220,  124626,  363204,    5869, 2262018, 2230449,  272832,  304401,   74108,    4415,   18477,   -3027,   17359,   -3347,    9252,   32841,   19266,     -91,    2462,    7454,    -677,   62534,   47307,   11574,   26801,  100.0,   11.1,   20.5,    1.5,   47.6,   21.8,   12.5,    9.8,   15.6,    1.6,    4.9,   14.3,    0.2,   89.2,   88.0,   10.8,   12.0,    542,     34,     38,     21,    155,     87,    118,     60,     97,     54,     37,     32,      7,    379,    363,    13.0,    19.3,    21.8,    29.1,    11.3,    19.2,    19.1,    28.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201110,2020-11-10,13874A,CME ,00,138 , 2460742,  276671,  501008,   40982, 1189251,  554724,  307424,  216135,  376397,   40311,  122164,  355750,    6546, 2199484, 2183142,  261258,  277600,   50002,    4503,   16794,   13535,   20860,  -57644,   22403,    9776,    8290,     454,  -24873,   26312,     -99,   46559,   30045,    3443,   19957,  100.0,   11.2,   20.4,    1.7,   48.3,   22.5,   12.5,    8.8,   15.3,    1.6,    5.0,   14.5,    0.3,   89.4,   88.7,   10.6,   11.3,    529,     35,     34,     19,    150,     88,    119,     65,     89,     47,     35,     33,      7,    374,    347,    12.9,    20.1,    21.1,    30.2,    11.1,    20.0,    18.3,    29.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201103,2020-11-03,13874A,CME ,00,138 , 2410740,  272168,  484214,   27447, 1168391,  612368,  285021,  206359,  368107,   39857,  147037,  329438,    6645, 2152925, 2153097,  257815,  257643,  -26206,   10536,  -15719,    -190,  -23723,   25167,     -63,  -10282,   -5200,   -2408,    6615,  -20917,     924,  -18591,  -18406,   -7615,   -7800,  100.0,   11.3,   20.1,    1.1,   48.5,   25.4,   11.8,    8.6,   15.3,    1.7,    6.1,   13.7,    0.3,   89.3,   89.3,   10.7,   10.7,    550,     37,     37,     21,    154,     93,    120,     50,    107,     50,     36,     36,      8,    368,    381,    13.9,    19.3,    21.0,    29.7,    12.9,    19.3,    19.0,    29.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201027,2020-10-27,13874A,CME ,00,138 , 2436946,  261632,  499933,   27637, 1192114,  587201,  285084,  216641,  373307,   42265,  140422,  350355,    5721, 2171516, 2171503,  265430,  265443,    1702,   -9764,    9127,     473,  -34156,   -6263,   22758,   18021,  -15932,   -2967,   22529,  -13310,     138,   17032,   -5976,  -15330,    7678,  100.0,   10.7,   20.5,    1.1,   48.9,   24.1,   11.7,    8.9,   15.3,    1.7,    5.8,   14.4,    0.2,   89.1,   89.1,   10.9,   10.9,    557,     37,     35,     22,    157,     94,    121,     57,    102,     47,     34,     41,      9,    377,    379,    13.1,    19.4,    20.4,    29.4,    11.5,    19.4,    18.0,    29.0,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
